AGCnr,HIMANGA,ALFALFA,SPRINGOB,radeg,decdeg,hiflux,width,widtherr,snr,D,vhelagc,vhelio,vopt,v21,Ty,a,b,b/a,zmag,rms,hisrc,logMH,logMH_Limit,Type
7228,1,0,0,183.403748,46.49361,10.46,366,0,16.6,103.28,7538,7568.29,7568,7538,2.9,1.3,0.3,0.2307692308,15.1,0,43,10.42047615,0,Archival
14,0,1,1,0.89625,23.200279,6.55,350,4,31.3,102.8,7247,7296.72,7301,7247,5.6,1.9,1,0.5263157895,14,2.5,75,10.21313953,0,Archival
40,0,1,1,1.451667,27.448889,2.52,388,2,12.8,102.8,7522,7527.63,7531,7522,3.3,1.2,0.7,0.5833333333,15.2,2.2,75,9.798298773,0,Archival
241,0,1,1,6.320416,12.883611,3.45,314,3,15.1,65.16,5168,5207.86,5290,5168,1.7,0.9,0.7,0.7777777778,14.1,0.9,52,9.538693249,0,Archival
299,0,1,1,7.4725,31.393055,3.83,343,4,20.4,81.66,6307,6303.88,6305,6307,5.3,1.6,1,0.625,15.3,2.3,75,9.780129528,0,Archival
442,0,1,1,10.465833,32.990833,4.7,221,3,30.2,73.45,4927,4930.01,4930,4927,6.4,1.8,0.9,0.5,15.4,2.3,75,9.776993461,0,Archival
979,0,1,1,21.336248,34.024723,11.33,474,5,43.7,63.68,4761,4948.26,4824,4761,4.2,3.2,0.8,0.25,13.5,2.4,75,10.03514802,0,Archival
1027,0,1,1,21.790001,14.776111,6.71,251,5,37.2,82.24516647,6441,,6402,6441,,1.2,0.8,0.6666666667,14.2,2.5,75,10.02985529,0,Archival
1164,0,1,1,24.577499,35.364719,6,478,10,23,83.56,4935,4956.3,4867,4935,1.1,2.2,0.7,0.3181818182,14,2.4,75,9.995060116,0,Archival
1259,0,1,1,27.093332,11.521111,13.11,322,2,39.6,58.34,5183,5179.1,5187,5183,5.3,2.3,1.7,0.7391304348,13.3,1.4,63,10.02244754,0,Archival
1259,0,1,1,27.093332,11.521111,13.11,322,2,39.6,70.7505633,5183,,5187,5183,,2.3,1.7,0.7391304348,13.3,1.4,63,10.1899745,0,Archival
1305,0,1,1,27.673332,21.759445,7.1,327,3,59.1,36.14,2666,2846.01,2665,2666,4,3.8,2.7,0.7105263158,13.5,0.8,63,9.340146648,0,Archival
1466,0,1,0,29.831667,19.007778,68.99,430,5,99.9,31.65639804,2459,,2460,2459,,8,5,0.625,11.3,2.6,75,10.21262114,0,Archival
1466,0,1,0,29.831667,19.007778,68.99,430,5,99.9,25.83678326,2459,,2460,2459,,8,5,0.625,11.3,2.6,75,10.03617503,0,Archival
1527,0,1,1,30.550833,-0.100833,3.46,138,84,24.5,66.07,5850,5916.25,5834,5850,1.1,2.5,2,0.8,14.2,2.7,75,9.551996715,0,Archival
1888,0,1,1,36.462086,18.496111,22.72,249,2,99.9,19.28308004,1510,,1516,1510,,3.6,2.1,0.5833333333,14.3,2.5,75,9.299673138,0,Archival
1888,0,1,1,36.462086,18.496111,22.72,249,2,99.9,25.94,1510,1507.94,1516,1510,5.2,3.6,2.1,0.5833333333,14.3,2.5,75,9.557260274,0,Archival
4484,0,1,1,128.822495,28.472778,3.93,212,3,27.5,38.55,2155,2135.62,2125,2155,3.4,2.5,1.8,0.72,13.2,2.2,75,9.139353318,0,Archival
4780,0,1,0,136.664169,19.335835,7.67,129,5,40.3,48.53,3291,3283.18,3286,3291,8,1.7,1.3,0.7647058824,15,3.7,75,9.62972795,0,Archival
5129,0,1,0,144.490829,25.493889,5.45,317,4,33.2,59.98,4063,3998.64,4035,4063,1.1,1.8,0.8,0.4444444444,14.3,2.1,75,9.665321428,0,Archival
5134,0,1,1,144.532913,9.523055,22.1,341,3,99.9,38.41631802,3339,,3344,3339,,2.5,0.88,0.352,13.5,2,75,9.886335753,0,Archival
5234,0,1,1,146.706253,16.042778,9.09,344,2,47.6,85.11,6012,6002.75,6017,6012,5.4,1.7,1.1,0.6470588235,14.9,2.3,75,10.19143707,0,Archival
5280,0,1,1,147.739166,33.553886,10.39,253,4,21.4,30.9,1535,1503.06,1540,1535,4,1.5,0.9,0.6,12.6,2.2,59,9.369444509,0,Archival
5378,0,1,0,150.132919,4.407222,5.14,260,5,30,66.07,4159,4061.04,4185,4159,3.1,1.8,0.8,0.4444444444,14.2,2.4,75,9.723883736,0,Archival
5525,0,1,0,153.561676,3.466389,81.5,452,4,99.9,28.84,1232,1301.78,1299,1232,1.2,5.5,3,0.5454545455,11.9,3.3,75,10.20406012,0,Archival
5559,0,1,0,154.522919,21.830833,4.53,463,7,19,29.79,1310,1345.36,1293,1310,0.9,4.5,1.7,0.3777777778,11.9,2.3,75,8.977151211,0,Archival
5637,0,1,0,156.275833,17.160555,60.73,161,3,99.9,12.67643273,752,,754,752,,6,4,0.6666666667,13.5,2.5,75,9.362309396,0,Archival
5741,0,1,1,158.678329,11.196667,4.23,347,4,24.9,30.13809697,1389,,1422,1389,,2.8,0.35,0.125,14.1,1.8,75,8.957484022,0,Archival
5803,0,1,0,159.991257,24.091112,3.87,312,5,25.3,94.62,6315,6304.53,6288,6315,3.1,1.4,0.9,0.6428571429,14.2,1.9,75,9.912588855,0,Archival
5850,0,1,1,160.98999,11.703333,51.91,270,2,99.9,9.317323229,777,,779,777,,8.5,5,0.5882352941,11.2,3,75,9.026745356,0,Archival
5882,0,1,1,161.690414,11.819722,78.64,343,3,99.9,26.3,893,897.99,899,893,2.1,7.5,5,0.6666666667,10,2.5,75,10.108467,0,Archival
5884,0,1,0,161.761246,26.543333,6.73,276,5,40.3,91.2,6276,6323.68,6287,6276,3.2,1.2,0.8,0.6666666667,14.4,2.2,75,10.12091674,0,Archival
5887,0,1,1,161.76709,17.273056,30.04,277,2,99.9,28.84,1279,1309.84,1287,1279,5.1,2.9,1.7,0.5862068966,12.4,2.3,75,9.770602443,0,Archival
6006,0,1,0,163.350006,16.771666,36.5,99,4,99.9,24.43,1067,1067.6,1066,1067,8.8,4.19,2.3,0.5489260143,14.3,2.4,75,9.711051801,0,Archival
6328,0,1,1,169.732086,13.092222,12.22,493,4,59.6,11.65882957,803,,806,803,,9.5,2.3,0.2421052632,9.6,1.9,75,8.593293116,0,Archival
6772,0,1,1,177.013748,30.359446,10.52,413,5,21.4,105.68,6287,6297.96,6371,6287,3.7,2.3,1.8,0.7826086957,13.7,1.5,63,10.44291335,0,Archival
6872,0,1,1,178.46167,33.365276,6.44,181,1,16.8,45.92,3206,3209.35,3212,3206,6.6,1.5,0.8,0.5333333333,14.5,2.3,63,9.505801629,0,Archival
6928,0,1,0,179.337082,25.195,7.95,542,7,28.7,58.34,4499,4546.48,4532,4499,3,2.3,0.4,0.1739130435,14.4,2.3,75,9.805211981,0,Archival
6960,0,1,1,179.61499,10.020833,6.65,378,1,30.2,59.07720523,4183,,4206,4183,,2.09,0.5,0.2392344498,14.6,2.5,75,9.738573532,0,Archival
7561,0,1,0,186.799576,9.42,3.49,61,4,32,14.93,437,1327.46,432,437,1.3,3.6,1.9,0.5277777778,13.1,3.1,75,8.263857045,0,Archival
7663,0,1,0,187.845413,29.136389,12.43,369,5,76.1,66.07,4539,4513.39,4551,4539,2.1,1.6,0.9,0.5625,14.1,1.9,75,10.10739175,0,Archival
7721,0,1,0,188.536255,2.652778,98.79,358,2,99.9,13.06,1735,1378.58,1736,1735,4,6.5,2.2,0.3384615385,12.4,3.1,75,9.599511342,0,Archival
