DSS,SN,NED Preference,SIMBAD only,Differnt From DSS,subcatalog,zCMB,vCMB,SN Ra,SN Dec,mu,e_mu,sep,gal long (l),gal lat (b),DSSvhelio,sep,OSC SN name,redshift,OSC velocity,OSC vhelio,|v_DSS-v_OSC|,|OSC velocity-v_OSCvhelio|,|v_DSS-v_OSCvhelio|,sep,AOD Host,host ra deg,host ra wrap,host dec deg,hostoffsetdist,Host z,Host vhelio,SIMBAD Host,SIMBAD z,SIMBAD v,sep,AGCnr,radeg,decdeg,a,b,zmag,vopt,hiflux,rms,v21,width,widtherr,snr,hisrc,vhelagc,RAwrap,Separation,|v_AGC-v_Host|,|v_AGC-v_DSS|,|v_Host-v_DSS|,sep,NED,SIMBAD,DR16,LEGACY
1,sn2002er,SN 2002er,,,A2.1: A1,0.008493333,2539.506567,257.913777,8.009015314,32.04624374,0.153421392,,28.668,25.829,2544.907457,,sn2002er,0.008569,2717,2568.9862,172.1,148.0,24.1,,UGC 10743,257.8791667,257.8791667,+7.99444444444444,2.89,0.008549,2563.0,,,,,10743,257.877899,7.994445,1.2,0.5,14.8,2569,4.6,1.7,2563,214,6,14.1,52,2563,257.877899,138.2410144,0.0,18.1,18.1,,,,,
2,sn2002bf,SN 2002bf,,,A2.1: A1,0.024883333,7440.116567,153.9277702,55.63831306,34.49553944,0.17136514,,156.46,50.085,7275.919999,,sn2002bf,0.024197,7254,7254.2606,21.9,0.3,21.7,,CGCG 266-031,153.925,153.925,+55.6675,1.36,0.024376,7307.9,,,,,200208,153.925842,55.667225,0.8,0.6,0,7254,0,0,0,0,0,0,0,7254,153.925842,104.1566424,53.9,21.9,32.0,,,,,
3,sn2001v,SN 2001v,,,A2.1: A1,0.016186667,4839.813433,179.3170534,25.20150456,33.0917769,0.144805319,,218.928,77.733,4532.333474,,sn2001v,0.01502,4539,4502.996,6.7,36.0,29.3,,NGC 3987,179.3375,179.3375,+25.1947222222222,11.77,0.015018,4502.4,,,,,6928,179.337082,25.195,2.3,0.4,14.4,4532,7.95,2.3,4499,542,7,28.7,75,4499,179.337082,69.31667037,3.4,33.3,29.9,,,,,
4,sn2001cz,SN 2001cz,,,A2.1: A1,0.012535339,3748.066361,191.8683329,-39.56532733,33.30398818,0.181636711,,302.106,23.285,3459.770233,,sn2001cz,0.01538,4716,4610.924,1256.2,105.1,1151.2,,NGC 4679,191.8791667,191.8791667,-39.5711111111111,7.23,0.015489,4643.6,,,,,28810,191.87793,-39.570831,3.3,1.4,13.3,4792,15.98,6.9,4649,420,4,8.3,29,4649,191.87793,33.1947061,5.4,1189.2,1183.8,,,,,
5,sn2001cn,SN 2001cn,,,A2.1: A1,0.014683333,4390.316567,281.6640805,-65.80820366,33.17058291,0.185709074,,329.641,-24.054,4409.623417,,sn2001cn,0.0155,4647,4646.9,237.4,0.1,237.3,,IC 4758,281.5708333,281.5708333,-65.7566666666667,5.09,0.015154,4543.2,,,,,32077,281.572937,-65.756668,1.1,0.9,14.2,4647,0,0,0,0,0,0,0,4647,281.572937,229.2081566,103.8,237.4,133.5,,,,,
6,sn2001bt,SN 2001bt,,,A2.1: A1,0.01374,4108.26,288.5020159,-59.31734108,33.07016391,0.187833086,,337.325,-25.866,4164.739443,,sn2001bt,0.01464,4441,4389.072,276.3,51.9,224.3,,IC 4830,288.4541667,288.4541667,-59.2944444444444,4.69,0.014637,4388.2,,,,,32378,288.453766,-59.293888,1.8,1.4,13.2,4515,0,0,0,0,0,0,0,4515,288.453766,122.4350962,126.8,350.3,223.4,,,,,
7,sn2001ba,SN 2001ba,,,A2.1: A1,0.030476667,9112.523433,174.5061048,-32.36019047,34.85559344,0.150259919,,285.391,28.028,8779.239547,,sn2001ba,0.02942,8924,8820.116,144.8,103.9,40.9,,MCG -05-28-01,174.5,174.5,-32.3252777777778,12.91,0.029417,8819.2,,,,,27994,174.497513,-32.325001,1.7,1.3,14.1,8819,0,0,0,0,0,0,0,8819,174.497513,129.3492827,0.2,39.8,40.0,,,,,
8,sn2001ay,SN 2001ay,,,A2.1: A1,0.030886667,9235.113433,216.6026948,26.25397238,34.94410547,0.165299476,,35.975,68.828,9036.468597,,sn2001ay,0.03024,9067,9065.952,30.5,1.0,29.5,,IC 4423,216.575,216.575,+26.2461111111111,8.30,0.030254,9070.1,,,,,9247,216.573334,26.246111,1.1,0.6,15.5,9015,2.15,2.2,9073,408,3,10.9,75,9073,216.573334,98.93272116,2.9,36.5,33.7,,,,,
9,sn2000fa,SN 2000fa,,,A2.1: A1,0.021783333,6513.216567,108.9099624,23.40777739,34.0275196,0.165129023,,194.167,15.478,6357.82077,,sn2000fa,0.02127,6379,6376.746,21.2,2.3,18.9,,UGC 3770,108.8708333,108.8708333,+23.4283333333333,4.85,0.021275,6378.2,,,,,3770,108.870834,23.428055,1.3,0.8,15.4,6378,6.11,2.2,6378,348,7,0,19,6378,108.870834,148.4483841,0.2,20.2,20.4,,,,,
10,sn2000e,SN 2000e,,,A2.1: A1,0.004196667,1254.803433,309.4221492,66.07910849,30.837387,0.1671832,,100.888,14.849,1412.4775,,sn2000e,0.00414,1331,1241.172,81.5,89.8,171.3,,NGC 6951,309.3083333,-50.69166667,+66.1055555555556,2.64,0.00475,1424.1,,,,,11604,309.309601,66.105278,4,3.6,12.3,1403,38.41,10.6,1424,314,2,19.5,70,1424,-50.690399,189.3098421,0.0,11.5,11.6,,,,,
11,sn2000dk,SN 2000dk,,,A2.1: A1,0.015896667,4753.103433,16.81750993,32.45279389,33.3769576,0.178346191,,126.834,-30.344,5049.623275,,sn2000dk,0.01744,5217,5228.512,167.4,11.5,178.9,,NGC 382,16.85,16.85,+32.4036111111111,0.71,0.017442,5229.1,,,,,682,16.82375,32.482502,1.3,1.1,13.9,4414,0,6.3,4341,0,0,0,-1,4414,16.82375,108.6155863,815.1,635.6,179.5,,,,,
12,sn2000cn,SN 2000cn,,,A2.1: A1,0.023193333,6934.806567,269.4221259,27.78775847,34.18560233,0.158416192,,53.445,23.318,7020.269341,,sn2000cn,0.02349,7043,7042.302,22.7,0.7,22.0,,UGC 11064,269.4208333,269.4208333,+27.8344444444444,3.33,0.023493,7043.2,,,,,11064,269.420837,27.834167,2,2,14.5,7030,5,2.2,7043,231,4,14.3,57,7043,269.420837,167.1211085,0.2,22.7,22.9,,,,,
13,sn2000cf,SN 2000cf,,,A2.1: A1,0.036473333,10905.52657,238.1457958,65.92954038,35.34581797,0.156411953,,99.883,42.166,10895.90082,,sn2000cf,0.0353,10920,10582.94,24.1,337.1,313.0,,MCG +11-19-25,238.2333333,238.2333333,+65.9361111111111,1.60,0.036425,10920.2,,,,,257439,238.232086,65.935555,0.65,0.13,17,10920,0,0,0,0,0,0,0,10920,238.232086,128.5216742,0.2,24.1,24.3,,,,,
14,sn2000ce,SN 2000ce,,,A2.1: A1,0.016486667,4929.513433,121.2799348,66.78424729,33.42067288,0.223510391,,149.096,32.003,4871.468961,,sn2000ce,0.01631,4888,4889.738,16.5,1.7,18.3,,UGC 4195,121.2791667,121.2791667,+66.7830555555555,6.52,0.016261,4875.0,,,,,4195,121.27916,66.782784,2.1,1.1,14.6,4888,6.51,2.8,4875,364,4,11.1,56,4875,121.27916,5.381374793,0.0,3.5,3.6,,,,,
15,sn2000ca,SN 2000ca,,,A2.1: A1,0.024483333,7320.516567,203.8490942,-34.19374553,34.22144048,0.147801932,,313.204,27.833,7048.153606,,sn2000ca,0.02362,7200,7081.276,151.8,118.7,33.1,,ESO 383-G32,203.8458333,203.8458333,-34.1619444444444,2.04,0.023616,7080.1,,,,,29862,203.859573,-34.190002,1.2,0.4,15.6,7271,0,0,0,0,0,0,0,7271,203.859573,33.98943862,190.9,222.8,31.9,,,,,
