# radius flux flux_err sb sb_err sb_snr flux_erg flux_erg_err mag mag_err sb_ergsqarc sb_err_ergsqarc sb_magsqarc sb_err_magsqarc 
1.93 6.495e+03 nan 9.238e+02 nan nan 2.636e-11 nan 1.297e+01 nan 4.960e-13 4.960e-13 1.728e+01 1.728e+01 
4.20 2.237e+04 nan 6.005e+02 nan nan 9.079e-11 nan 1.163e+01 nan 3.224e-13 3.224e-13 1.775e+01 1.775e+01 
6.83 3.739e+04 nan 2.735e+02 nan nan 1.517e-10 nan 1.107e+01 nan 1.468e-13 1.468e-13 1.860e+01 1.860e+01 
9.80 4.659e+04 nan 9.813e+01 nan nan 1.891e-10 nan 1.083e+01 nan 5.268e-14 5.268e-14 1.972e+01 1.972e+01 
13.12 5.283e+04 nan 4.314e+01 nan nan 2.144e-10 nan 1.069e+01 nan 2.316e-14 2.316e-14 2.061e+01 2.061e+01 
16.80 5.806e+04 nan 2.504e+01 nan nan 2.356e-10 nan 1.059e+01 nan 1.345e-14 1.345e-14 2.120e+01 2.120e+01 
20.83 6.143e+04 nan 1.173e+01 nan nan 2.493e-10 nan 1.053e+01 nan 6.298e-15 6.298e-15 2.202e+01 2.202e+01 
25.20 6.365e+04 nan 5.826e+00 nan nan 2.583e-10 nan 1.049e+01 nan 3.128e-15 3.128e-15 2.278e+01 2.278e+01 
29.92 6.476e+04 nan 2.236e+00 nan nan 2.628e-10 nan 1.047e+01 nan 1.200e-15 1.200e-15 2.382e+01 2.382e+01 
35.00 6.561e+04 nan 1.370e+00 nan nan 2.663e-10 nan 1.046e+01 nan 7.353e-16 7.353e-16 2.435e+01 2.435e+01 
40.43 6.669e+04 nan 1.391e+00 nan nan 2.707e-10 nan 1.044e+01 nan 7.470e-16 7.470e-16 2.434e+01 2.434e+01 
46.20 6.744e+04 nan 7.862e-01 nan nan 2.737e-10 nan 1.043e+01 nan 4.221e-16 4.221e-16 2.496e+01 2.496e+01 
52.32 6.783e+04 nan 3.394e-01 nan nan 2.753e-10 nan 1.042e+01 nan 1.822e-16 1.822e-16 2.587e+01 2.587e+01 
58.80 6.875e+04 nan 6.737e-01 nan nan 2.790e-10 nan 1.041e+01 nan 3.617e-16 3.617e-16 2.513e+01 2.513e+01 
